Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,SoC,SoH
3.6169084386607695,-0.0018706608574539,25.66356600172257,0.0,0.003,0.0,-0.0,85.65685392201982
3.2971153140129523,-3.672509218918276,25.66286004251001,-3.658,1.479,2.562000000000001,-0.15256236217299915,85.65685392201982
3.726530160849292,1.5113248764435527,25.67163569739104,1.5,4.472,5.265000000000001,-0.08632404948860173,85.65685392201982
3.7380872689326994,1.509618414270583,25.68425642596699,1.5,4.488,7.7180000000000035,-0.02627998022576787,85.65685392201982
3.746431347342199,1.5101263969842094,25.691708517195,1.5,4.499,10.186999999999998,0.03417607046815612,85.65685392201982
3.753076105959073,1.5087086646228434,25.691662409892253,1.5,4.504,12.686999999999998,0.09533371883254428,85.65685392201982
3.759131530685353,1.510554056154688,25.688089903293044,1.5,4.515,15.186999999999998,0.1565661727634713,85.65685392201982
3.764384804775663,1.5109490393727776,25.678453706774988,1.5,4.515,17.718000000000004,0.21857411886778666,85.65685392201982
3.76934539229624,1.5123599312088851,25.665057556189343,1.5,4.526,20.265,0.28103232287235963,85.65685392201982
3.7741386419914127,1.5119552576097155,25.66718592196869,1.5,4.526,22.781,0.34271382771741005,85.65685392201982
3.7784826885926086,1.5112312870450568,25.65697826718752,1.5,4.531,25.312,0.4047333570042117,85.65685392201982
3.7822999685940655,1.508974646997215,25.64286881085732,1.5,4.537,27.781,0.4651432988057016,85.65685392201982
3.786209630674013,1.5117723290383835,25.64283269152104,1.498,4.542,30.265,0.5260329333926853,85.65685392201982
3.78999591647032,1.5076140039855854,25.629815557043504,1.5,4.542,32.718,0.5859972785683951,85.65685392201982
3.793490245611809,1.5097815943224575,25.61022620655169,1.5,4.548,35.203,0.6468312128153536,85.65685392201982
3.796682342874342,1.5102472892757168,25.59642547179466,1.5,4.553,37.718,0.708418551627375,85.65685392201982
3.799947818738664,1.509247314400678,25.594086852499306,1.5,4.553,40.25,0.7703811323117052,85.65685392201982
3.803100946558093,1.5093385566224204,25.573854620602265,1.5,4.558,42.734,0.8311727418784994,85.65685392201982
3.80618598170936,1.5109888347644518,25.55886112141176,1.5,4.558,45.218,0.8920308196767232,85.65685392201982
3.809080021683068,1.5110678797560402,25.53961711751741,1.5,4.564,47.703,0.952916582482053,85.65685392201982
3.811611332411323,1.5115984929568766,25.5211350622886,1.5,4.564,50.171,1.0134070568088012,85.65685392201982
3.8140071085666647,1.5100885278993597,25.50920057179483,1.5,4.569,52.687,1.075012406822487,85.65685392201982
